Região Geográfica Intermediária,Grupo de idade,Pessoas,Tempo de Deslocamento,Nível de Instrução,Código Região Intermediária,Código UF,UF,Tempo de Deslocamento Médio
Porto Velho,10 a 17 anos,5254.0,Total,Total,1101,11,Rondônia,
Ji-Paraná,10 a 17 anos,5670.0,Total,Total,1102,11,Rondônia,
Rio Branco,10 a 17 anos,2235.0,Total,Total,1201,12,Acre,
Cruzeiro do Sul,10 a 17 anos,1125.0,Total,Total,1202,12,Acre,
Manaus,10 a 17 anos,10845.0,Total,Total,1301,13,Amazonas,
Tefé,10 a 17 anos,3970.0,Total,Total,1302,13,Amazonas,
Lábrea,10 a 17 anos,2219.0,Total,Total,1303,13,Amazonas,
Parintins,10 a 17 anos,1469.0,Total,Total,1304,13,Amazonas,
Boa Vista,10 a 17 anos,2650.0,Total,Total,1401,14,Roraima,
Rorainópolis - Caracaraí,10 a 17 anos,609.0,Total,Total,1402,14,Roraima,
Belém,10 a 17 anos,11134.0,Total,Total,1501,15,Pará,
Castanhal,10 a 17 anos,8072.0,Total,Total,1502,15,Pará,
Marabá,10 a 17 anos,9638.0,Total,Total,1503,15,Pará,
Redenção,10 a 17 anos,4632.0,Total,Total,1504,15,Pará,
Santarém,10 a 17 anos,5810.0,Total,Total,1505,15,Pará,
Altamira,10 a 17 anos,3039.0,Total,Total,1506,15,Pará,
Breves,10 a 17 anos,2118.0,Total,Total,1507,15,Pará,
Macapá,10 a 17 anos,2673.0,Total,Total,1601,16,Amapá,
Oiapoque - Porto Grande,10 a 17 anos,625.0,Total,Total,1602,16,Amapá,
Palmas,10 a 17 anos,4959.0,Total,Total,1701,17,Tocantins,
Araguaína,10 a 17 anos,4581.0,Total,Total,1702,17,Tocantins,
Gurupi,10 a 17 anos,1912.0,Total,Total,1703,17,Tocantins,
São Luís,10 a 17 anos,10243.0,Total,Total,2101,21,Maranhão,
Santa Inês - Bacabal,10 a 17 anos,8081.0,Total,Total,2102,21,Maranhão,
Caxias,10 a 17 anos,3229.0,Total,Total,2103,21,Maranhão,
Presidente Dutra,10 a 17 anos,2883.0,Total,Total,2104,21,Maranhão,
Imperatriz,10 a 17 anos,8757.0,Total,Total,2105,21,Maranhão,
Teresina,10 a 17 anos,5144.0,Total,Total,2201,22,Piauí,
Parnaíba,10 a 17 anos,2342.0,Total,Total,2202,22,Piauí,
Picos,10 a 17 anos,2067.0,Total,Total,2203,22,Piauí,
São Raimundo Nonato,10 a 17 anos,670.0,Total,Total,2204,22,Piauí,
Corrente - Bom Jesus,10 a 17 anos,1001.0,Total,Total,2205,22,Piauí,
Floriano,10 a 17 anos,983.0,Total,Total,2206,22,Piauí,
Fortaleza,10 a 17 anos,13805.0,Total,Total,2301,23,Ceará,
Quixadá,10 a 17 anos,2362.0,Total,Total,2302,23,Ceará,
Iguatu,10 a 17 anos,1181.0,Total,Total,2303,23,Ceará,
Juazeiro do Norte,10 a 17 anos,3568.0,Total,Total,2304,23,Ceará,
Crateús,10 a 17 anos,1278.0,Total,Total,2305,23,Ceará,
Sobral,10 a 17 anos,4961.0,Total,Total,2306,23,Ceará,
Natal,10 a 17 anos,6873.0,Total,Total,2401,24,Rio Grande do Norte,
Caicó,10 a 17 anos,951.0,Total,Total,2402,24,Rio Grande do Norte,
Mossoró,10 a 17 anos,2582.0,Total,Total,2403,24,Rio Grande do Norte,
João Pessoa,10 a 17 anos,5475.0,Total,Total,2501,25,Paraíba,
Campina Grande,10 a 17 anos,4045.0,Total,Total,2502,25,Paraíba,
Patos,10 a 17 anos,2095.0,Total,Total,2503,25,Paraíba,
Sousa - Cajazeiras,10 a 17 anos,748.0,Total,Total,2504,25,Paraíba,
Recife,10 a 17 anos,12966.0,Total,Total,2601,26,Pernambuco,
Caruaru,10 a 17 anos,9913.0,Total,Total,2602,26,Pernambuco,
Serra Talhada,10 a 17 anos,1920.0,Total,Total,2603,26,Pernambuco,
Petrolina,10 a 17 anos,4626.0,Total,Total,2604,26,Pernambuco,
Maceió,10 a 17 anos,6968.0,Total,Total,2701,27,Alagoas,
Arapiraca,10 a 17 anos,5060.0,Total,Total,2702,27,Alagoas,
Aracaju,10 a 17 anos,5148.0,Total,Total,2801,28,Sergipe,
Itabaiana,10 a 17 anos,3171.0,Total,Total,2802,28,Sergipe,
Salvador,10 a 17 anos,14764.0,Total,Total,2901,29,Bahia,
Santo Antônio de Jesus,10 a 17 anos,4176.0,Total,Total,2902,29,Bahia,
Ilhéus - Itabuna,10 a 17 anos,11398.0,Total,Total,,,,
Vitória da Conquista,10 a 17 anos,9066.0,Total,Total,2904,29,Bahia,
Guanambi,10 a 17 anos,3422.0,Total,Total,2905,29,Bahia,
Barreiras,10 a 17 anos,3750.0,Total,Total,2906,29,Bahia,
Irecê,10 a 17 anos,4056.0,Total,Total,2907,29,Bahia,
Juazeiro,10 a 17 anos,3962.0,Total,Total,2908,29,Bahia,
Paulo Afonso,10 a 17 anos,3220.0,Total,Total,2909,29,Bahia,
Feira de Santana,10 a 17 anos,11657.0,Total,Total,2910,29,Bahia,
Belo Horizonte,10 a 17 anos,27988.0,Total,Total,3101,31,Minas Gerais,
Montes Claros,10 a 17 anos,8629.0,Total,Total,3102,31,Minas Gerais,
Teófilo Otoni,10 a 17 anos,6273.0,Total,Total,3103,31,Minas Gerais,
Governador Valadares,10 a 17 anos,4329.0,Total,Total,3104,31,Minas Gerais,
Ipatinga,10 a 17 anos,5026.0,Total,Total,3105,31,Minas Gerais,
Juíz de Fora,10 a 17 anos,10699.0,Total,Total,3106,31,Minas Gerais,
Barbacena,10 a 17 anos,3163.0,Total,Total,3107,31,Minas Gerais,
Varginha,10 a 17 anos,10435.0,Total,Total,3108,31,Minas Gerais,
Pouso Alegre,10 a 17 anos,8121.0,Total,Total,3109,31,Minas Gerais,
Uberaba,10 a 17 anos,5531.0,Total,Total,3110,31,Minas Gerais,
Uberlândia,10 a 17 anos,8153.0,Total,Total,3111,31,Minas Gerais,
Patos de Minas,10 a 17 anos,6834.0,Total,Total,3112,31,Minas Gerais,
Divinópolis,10 a 17 anos,13133.0,Total,Total,3113,31,Minas Gerais,
Vitória,10 a 17 anos,12076.0,Total,Total,3201,32,Espírito Santo,
São Mateus,10 a 17 anos,4059.0,Total,Total,3202,32,Espírito Santo,
Colatina,10 a 17 anos,2353.0,Total,Total,3203,32,Espírito Santo,
Cachoeiro do Itapemirim,10 a 17 anos,2916.0,Total,Total,3204,32,Espírito Santo,
Rio de Janeiro,10 a 17 anos,26777.0,Total,Total,3301,33,Rio de Janeiro,
Volta Redonda - Barra Mansa,10 a 17 anos,3092.0,Total,Total,3302,33,Rio de Janeiro,
Petrópolis,10 a 17 anos,2983.0,Total,Total,3303,33,Rio de Janeiro,
Campos dos Goytacazes,10 a 17 anos,2945.0,Total,Total,3304,33,Rio de Janeiro,
Macaé - Rio das Ostras - Cabo Frio,10 a 17 anos,3345.0,Total,Total,3305,33,Rio de Janeiro,
São Paulo,10 a 17 anos,89626.0,Total,Total,3501,35,São Paulo,
Sorocaba,10 a 17 anos,17476.0,Total,Total,3502,35,São Paulo,
Bauru,10 a 17 anos,8592.0,Total,Total,3503,35,São Paulo,
Marília,10 a 17 anos,5362.0,Total,Total,3504,35,São Paulo,
Presidente Prudente,10 a 17 anos,3655.0,Total,Total,3505,35,São Paulo,
Araçatuba,10 a 17 anos,3785.0,Total,Total,3506,35,São Paulo,
São José do Rio Preto,10 a 17 anos,8839.0,Total,Total,3507,35,São Paulo,
Ribeirão Preto,10 a 17 anos,14660.0,Total,Total,3508,35,São Paulo,
Araraquara,10 a 17 anos,4773.0,Total,Total,3509,35,São Paulo,
Campinas,10 a 17 anos,34344.0,Total,Total,3510,35,São Paulo,
São José dos Campos,10 a 17 anos,11305.0,Total,Total,3511,35,São Paulo,
Curitiba,10 a 17 anos,22304.0,Total,Total,4101,41,Paraná,
Guarapuava,10 a 17 anos,3075.0,Total,Total,4102,41,Paraná,
Cascavel,10 a 17 anos,21867.0,Total,Total,4103,41,Paraná,
Maringá,10 a 17 anos,13442.0,Total,Total,4104,41,Paraná,
Londrina,10 a 17 anos,13086.0,Total,Total,4105,41,Paraná,
Ponta Grossa,10 a 17 anos,5819.0,Total,Total,4106,41,Paraná,
Florianópolis,10 a 17 anos,6584.0,Total,Total,4201,42,Santa Catarina,
Criciúma,10 a 17 anos,9058.0,Total,Total,4202,42,Santa Catarina,
Lages,10 a 17 anos,3158.0,Total,Total,4203,42,Santa Catarina,
Chapecó,10 a 17 anos,12958.0,Total,Total,4204,42,Santa Catarina,
Caçador,10 a 17 anos,2009.0,Total,Total,4205,42,Santa Catarina,
Joinville,10 a 17 anos,11284.0,Total,Total,4206,42,Santa Catarina,
Blumenau,10 a 17 anos,19906.0,Total,Total,4207,42,Santa Catarina,
Porto Alegre,10 a 17 anos,30748.0,Total,Total,4301,43,Rio Grande do Sul,
Pelotas,10 a 17 anos,4391.0,Total,Total,4302,43,Rio Grande do Sul,
Santa Maria,10 a 17 anos,3792.0,Total,Total,4303,43,Rio Grande do Sul,
Uruguaiana,10 a 17 anos,2294.0,Total,Total,4304,43,Rio Grande do Sul,
Ijuí,10 a 17 anos,5068.0,Total,Total,4305,43,Rio Grande do Sul,
Passo Fundo,10 a 17 anos,11441.0,Total,Total,4306,43,Rio Grande do Sul,
Caxias do Sul,10 a 17 anos,12432.0,Total,Total,4307,43,Rio Grande do Sul,
Santa Cruz do Sul - Lajeado,10 a 17 anos,6598.0,Total,Total,4308,43,Rio Grande do Sul,
Campo Grande,10 a 17 anos,10550.0,Total,Total,5001,50,Mato Grosso do Sul,
Dourados,10 a 17 anos,7289.0,Total,Total,5002,50,Mato Grosso do Sul,
Corumbá,10 a 17 anos,2091.0,Total,Total,5003,50,Mato Grosso do Sul,
Cuiabá,10 a 17 anos,10704.0,Total,Total,5101,51,Mato Grosso,
Cáceres,10 a 17 anos,2635.0,Total,Total,5102,51,Mato Grosso,
Sinop,10 a 17 anos,11694.0,Total,Total,5103,51,Mato Grosso,
Barra do Garças,10 a 17 anos,4381.0,Total,Total,5104,51,Mato Grosso,
Rondonópolis,10 a 17 anos,4105.0,Total,Total,5105,51,Mato Grosso,
Goiânia,10 a 17 anos,27297.0,Total,Total,5201,52,Goiás,
Itumbiara,10 a 17 anos,4190.0,Total,Total,5202,52,Goiás,
Rio Verde,10 a 17 anos,6105.0,Total,Total,5203,52,Goiás,
São Luís de Montes Belos - Iporá,10 a 17 anos,2714.0,Total,Total,5204,52,Goiás,
Porangatu - Uruaçu,10 a 17 anos,4479.0,Total,Total,5205,52,Goiás,
Luziânia - Águas Lindas de Goiás,10 a 17 anos,9132.0,Total,Total,5206,52,Goiás,
Distrito Federal,10 a 17 anos,13671.0,Total,Total,5301,53,Distrito Federal,
Porto Velho,10 a 17 anos,2046.0,Total,Sem instrução e fundamental incompleto,1101,11,Rondônia,
Ji-Paraná,10 a 17 anos,1689.0,Total,Sem instrução e fundamental incompleto,1102,11,Rondônia,
Rio Branco,10 a 17 anos,980.0,Total,Sem instrução e fundamental incompleto,1201,12,Acre,
Cruzeiro do Sul,10 a 17 anos,481.0,Total,Sem instrução e fundamental incompleto,1202,12,Acre,
Manaus,10 a 17 anos,3788.0,Total,Sem instrução e fundamental incompleto,1301,13,Amazonas,
Tefé,10 a 17 anos,2357.0,Total,Sem instrução e fundamental incompleto,1302,13,Amazonas,
Lábrea,10 a 17 anos,1098.0,Total,Sem instrução e fundamental incompleto,1303,13,Amazonas,
Parintins,10 a 17 anos,581.0,Total,Sem instrução e fundamental incompleto,1304,13,Amazonas,
Boa Vista,10 a 17 anos,799.0,Total,Sem instrução e fundamental incompleto,1401,14,Roraima,
Rorainópolis - Caracaraí,10 a 17 anos,354.0,Total,Sem instrução e fundamental incompleto,1402,14,Roraima,
Belém,10 a 17 anos,4574.0,Total,Sem instrução e fundamental incompleto,1501,15,Pará,
Castanhal,10 a 17 anos,4121.0,Total,Sem instrução e fundamental incompleto,1502,15,Pará,
Marabá,10 a 17 anos,4099.0,Total,Sem instrução e fundamental incompleto,1503,15,Pará,
Redenção,10 a 17 anos,2092.0,Total,Sem instrução e fundamental incompleto,1504,15,Pará,
