sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_atentida_esgoto,volume_agua_produzido,volume_agua_tratada_eta,indice_coleta_esgoto,indice_tratamento_esgoto,investimento_esgoto_estado,investimento_recurso_proprio_estado,investimento_total_estado
AL,Alagoas,2383267,608414,261349.06,143132.21999999997,46.90694444444445,65.78583333333334,59633819.95999999,69409914.97,69409914.97
BA,Bahia,11271677,5829598,929250.9000000004,776094.33,51.71492385786801,61.626751269035545,0.0,0.0,0.0
CE,Ceará,6141616,2601403,555408.3400000001,445247.01,27.18787037037037,83.02546296296295,0.0,2016681.72,2016681.72
GO,Goiás,6280842,4444408,450326.2000000002,366243.74000000017,68.46337078651686,92.248202247191,0.0,0.0,0.0
MA,Maranhão,3836991,857439,558562.0100000001,199644.13,42.26130434782609,49.209565217391294,6000.0,164000.0,253000.0
MG,Minas Gerais,17220812,15649213,1696255.139999997,1324531.5699999975,74.0929551820727,38.33913165266102,50000.0,0.0,416587.0
MS,Mato Grosso do Sul,2366515,1599752,244464.1899999999,94197.43000000002,40.27953846153847,99.2692307692308,6958674.970000001,0.0,6958674.970000001
MT,Mato Grosso,3068179,1421021,366380.32000000007,243747.90000000005,44.93525,87.09149999999998,0.0,0.0,7210812.53
PB,Paraíba,2971873,1544938,204510.39000000007,191892.27000000008,63.68066666666669,45.94700000000001,0.0,309050.0,309050.0
PE,Pernambuco,7766224,3064908,721035.11,651908.4600000001,54.01061855670101,46.6190625,0.0,31774781.23,31774781.23
PR,Paraná,10995913,8741605,864153.6900000005,641984.1800000003,62.61236051502146,99.65502145922744,0.0,0.0,0.0
RJ,Rio de Janeiro,14300607,10424391,2340265.43,1923915.7,65.34000000000003,55.02657142857144,0.0,0.0,0.0
RN,Rio Grande do Norte,2590846,980205,245348.31,92440.99000000002,48.64986486486488,70.68067567567563,0.0,0.0,0.0
RR,Roraima,505536,417306,67997.70000000001,32572.54,86.644,67.74,0.0,0.0,0.0
RS,Rio Grande do Sul,9548609,3898260,1006054.82,868073.2700000001,36.40015625,56.710944881889766,2000.0,596973.59,543973.59
SC,Santa Catarina,6843996,2217539,541087.3400000007,511908.3200000003,41.81265060240963,94.13506024096382,0.0,2225974.33,2525974.33
SP,São Paulo,42232443,40173545,2600735.120000001,1756152.8400000003,85.59460342146188,89.62790046656289,12888118.87,18586783.68,27325630.27
TO,Tocantins,1285272,529340,109489.13999999998,62743.35,37.45619047619047,85.7142857142857,0.0,0.0,0.0
AM,Amazonas,3135662,560592,336434.44000000006,205444.94000000003,25.121428571428574,14.285714285714286,0.0,2500000.0,7500000.0
DF,Distrito Federal,2788897,2600435,258310.66,239597.38,81.96,100.0,0.0,0.0,0.0
ES,Espírito Santo,3195638,2282303,344959.08,343321.11,63.85239436619717,65.1556338028169,18747.0,707758.9299999999,707758.9299999999
PI,Piauí,2298625,611132,271297.99000000005,159707.05999999997,36.65675675675674,61.818611111111125,0.0,0.0,0.0
SE,Sergipe,2024733,767057,178162.73,159967.96,58.13172413793103,57.70206896551724,0.0,0.0,0.0
PA,Pará,4284161,703170,421663.5400000001,185646.13,26.79666666666666,65.33037037037037,15794440.69,632166.8200000001,89470670.04
RO,Rondônia,884665,140571,114484.02999999996,67093.79,29.977857142857143,83.34214285714286,52149006.64,0.0,69573014.25999999
AP,Amapá,344360,39508,60880.92,51316.73999999999,19.72166666666667,33.33333333333333,1024839.96,1248253.19,1248253.19
AC,Acre,398459,87383,70326.41,62898.77,69.06,50.67,0.0,2319440.27,2319440.27
