UF,Tempo_Deslocamento_Medio_Minutos,Indice_Saneamento_Basico,Taxa_Evasao_Media,Taxa_Repetencia_Media
Acre,21.42,59.86,5.2,9.45
Alagoas,18.76,56.35,4.25,2.3
Amapá,24.06,26.53,3.25,8.05
Amazonas,29.92,19.7,1.9,1.7
Bahia,19.23,56.67,4.25,9.5
Ceará,18.76,55.11,2.9,1.4
Distrito Federal,35.04,90.98,3.0,6.05
Espírito Santo,24.21,64.5,3.0,1.7
Goiás,20.76,80.36,5.05,2.7
Maranhão,17.82,45.74,6.2,4.75
Mato Grosso,15.7,66.01,3.95,2.8
Mato Grosso do Sul,20.65,69.77,4.65,6.75
Minas Gerais,20.68,56.22,5.45,2.55
Paraná,18.52,81.13,7.45,2.25
Paraíba,16.58,54.81,3.7,2.75
Pará,20.59,46.06,3.0,2.2
Pernambuco,20.23,50.31,5.3,1.9
Piauí,15.73,49.24,4.0,3.75
Rio Grande do Norte,18.93,59.67,2.2,3.05
Rio Grande do Sul,18.04,46.56,6.55,2.15
Rio de Janeiro,27.79,60.18,5.65,3.7
Rondônia,15.32,56.66,2.8,5.3
Roraima,19.93,77.19,4.05,3.75
Santa Catarina,15.48,67.97,3.95,5.3
Sergipe,19.59,57.92,3.75,2.0
São Paulo,27.61,87.61,1.55,1.3
Tocantins,16.42,61.59,4.35,3.35
