UF,Ano,Taxa_Abandono_Media,Taxa_Abandono_EF,Taxa_Abandono_EM,Taxa_Reprovacao_Media,Taxa_Reprovacao_EF,Taxa_Reprovacao_EM,IDHM,Taxa_Desemprego,Renda_Per_Capita,Indice_Gini_x,Taxa_Gravidez_Adolescente_x,PIB_Total_MilReais_x,Indice_Gini_y,Taxa_Gravidez_Adolescente_y,PIB_Total_MilReais_y
Rondônia,2018,2.2,1.4,3.0,6.35,6.9,5.8,0.73,9.1,1072.0,0.496,17.26,44913978.0,0.496,17.26,44913978.0
Acre,2018,2.95,2.2,3.7,5.699999999999999,6.1,5.3,0.733,13.3,868.0,0.558,24.22,15331123.0,0.558,24.22,15331123.0
Amazonas,2018,3.85,2.8,4.9,5.95,6.9,5.0,0.718,14.6,761.0,0.544,22.09,100109235.0,0.544,22.09,100109235.0
Roraima,2018,2.9,2.0,3.8,7.95,7.0,8.9,0.76,14.2,1161.0,0.566,19.42,13369988.0,0.566,19.42,13369988.0
Pará,2018,4.6,3.6,5.6,9.2,11.2,7.2,0.707,10.3,822.0,0.562,22.28,161349602.0,0.562,22.28,161349602.0
Amapá,2018,3.35,2.4,4.3,10.3,10.4,10.2,0.741,19.8,818.0,0.547,23.17,16795207.0,0.547,23.17,16795207.0
Tocantins,2018,1.7,1.1,2.3,7.5,7.4,7.6,0.749,10.5,997.0,0.529,19.31,35666183.0,0.529,19.31,35666183.0
Maranhão,2018,3.1,2.3,3.9,6.85,7.7,6.0,0.686,14.4,586.0,0.528,23.26,98179496.0,0.528,23.26,98179496.0
Piauí,2018,2.4,1.8,3.0,7.55,9.5,5.6,0.699,12.4,778.0,0.53,19.16,50378418.0,0.53,19.16,50378418.0
Ceará,2018,1.05,0.9,1.2,3.0,3.7,2.3,0.739,10.2,818.0,0.547,16.05,155903825.0,0.547,16.05,155903825.0
Rio Grande do Norte,2018,3.1500000000000004,2.6,3.7,9.85,11.9,7.8,0.739,13.5,921.0,0.54,16.04,66969562.0,0.54,16.04,66969562.0
Paraíba,2018,3.55,3.0,4.1,8.9,9.8,8.0,0.711,11.2,849.0,0.549,16.86,64373595.0,0.549,16.86,64373595.0
Pernambuco,2018,1.55,1.3,1.8,5.9,6.8,5.0,0.735,15.6,829.0,0.534,17.3,186351975.0,0.534,17.3,186351975.0
Alagoas,2018,3.7,2.9,4.5,7.050000000000001,7.7,6.4,0.689,16.1,681.0,0.55,22.46,54413047.0,0.55,22.46,54413047.0
Sergipe,2018,3.25,2.5,4.0,11.9,13.8,10.0,0.71,15.2,870.0,0.578,18.34,42017981.0,0.578,18.34,42017981.0
Bahia,2018,3.85,3.3,4.4,11.75,12.4,11.1,0.71,17.7,807.0,0.55,17.75,286239541.0,0.55,17.75,286239541.0
Minas Gerais,2018,1.85,1.1,2.6,7.0,5.7,8.3,0.784,9.7,1241.0,0.492,12.84,614875820.0,0.492,12.84,614875820.0
