UF,Ano,Taxa_Desemprego
Acre,2018,13.3
Acre,2019,13.8
Acre,2020,15.7
Acre,2021,13.2
Acre,2022,9.8
Alagoas,2018,16.1
Alagoas,2019,13.7
Alagoas,2020,20.7
Alagoas,2021,14.6
Alagoas,2022,9.4
Amapá,2018,19.8
Amapá,2019,15.8
Amapá,2020,15.9
Amapá,2021,17.4
Amapá,2022,13.4
Amazonas,2018,14.6
Amazonas,2019,13.1
Amazonas,2020,15.7
Amazonas,2021,13.1
Amazonas,2022,10.1
Bahia,2018,17.7
Bahia,2019,16.6
Bahia,2020,20.6
Bahia,2021,17.3
Bahia,2022,13.5
Ceará,2018,10.2
Ceará,2019,10.3
Ceará,2020,14.4
Ceará,2021,11.1
Ceará,2022,7.8
Distrito Federal,2018,12.1
Distrito Federal,2019,12.6
Distrito Federal,2020,14.5
Distrito Federal,2021,12.1
Distrito Federal,2022,10.3
Espírito Santo,2018,10.4
Espírito Santo,2019,10.5
Espírito Santo,2020,13.5
Espírito Santo,2021,9.9
Espírito Santo,2022,7.3
Goiás,2018,8.4
Goiás,2019,10.6
Goiás,2020,12.8
Goiás,2021,8.8
Goiás,2022,6.7
Maranhão,2018,14.4
Maranhão,2019,12.5
Maranhão,2020,14.8
Maranhão,2021,13.6
Maranhão,2022,8.4
Mato Grosso,2018,7.0
Mato Grosso,2019,6.5
Mato Grosso,2020,10.7
Mato Grosso,2021,5.9
Mato Grosso,2022,3.6
Mato Grosso do Sul,2018,7.0
Mato Grosso do Sul,2019,6.7
Mato Grosso do Sul,2020,9.6
Mato Grosso do Sul,2021,6.5
Mato Grosso do Sul,2022,3.3
Minas Gerais,2018,9.7
Minas Gerais,2019,9.6
Minas Gerais,2020,12.5
Minas Gerais,2021,9.5
Minas Gerais,2022,5.8
Paraná,2018,7.9
Paraná,2019,7.4
Paraná,2020,10.1
Paraná,2021,7.0
Paraná,2022,5.2
Paraíba,2018,11.2
Paraíba,2019,12.2
Paraíba,2020,15.7
Paraíba,2021,13.0
Paraíba,2022,10.3
Pará,2018,10.3
Pará,2019,9.2
Pará,2020,10.9
Pará,2021,10.9
Pará,2022,8.2
Pernambuco,2018,15.6
Pernambuco,2019,14.2
Pernambuco,2020,19.4
Pernambuco,2021,17.2
Pernambuco,2022,12.3
Piauí,2018,12.4
Piauí,2019,13.3
Piauí,2020,12.3
Piauí,2021,11.9
Piauí,2022,9.5
Rio Grande do Norte,2018,13.5
Rio Grande do Norte,2019,12.9
Rio Grande do Norte,2020,15.6
Rio Grande do Norte,2021,12.8
Rio Grande do Norte,2022,10.0
Rio Grande do Sul,2018,7.5
Rio Grande do Sul,2019,7.3
Rio Grande do Sul,2020,8.6
Rio Grande do Sul,2021,8.1
Rio Grande do Sul,2022,4.6
Rio de Janeiro,2018,14.9
Rio de Janeiro,2019,13.8
Rio de Janeiro,2020,19.6
Rio de Janeiro,2021,14.2
Rio de Janeiro,2022,11.4
Rondônia,2018,9.1
Rondônia,2019,8.2
Rondônia,2020,11.1
Rondônia,2021,6.8
Rondônia,2022,3.1
Roraima,2018,14.2
Roraima,2019,15.0
Roraima,2020,14.5
Roraima,2021,9.2
Roraima,2022,4.6
Santa Catarina,2018,6.4
Santa Catarina,2019,5.5
Santa Catarina,2020,5.4
Santa Catarina,2021,4.4
Santa Catarina,2022,3.3
Sergipe,2018,15.2
Sergipe,2019,15.1
Sergipe,2020,18.3
Sergipe,2021,14.7
Sergipe,2022,12.0
São Paulo,2018,12.6
São Paulo,2019,11.6
São Paulo,2020,14.8
São Paulo,2021,11.2
São Paulo,2022,7.7
Tocantins,2018,10.5
Tocantins,2019,9.3
Tocantins,2020,11.3
Tocantins,2021,9.6
Tocantins,2022,5.2
