UF,Ano,Indice_Gini
Acre,2018,0.558
Acre,2019,0.559
Acre,2020,0.515
Acre,2021,0.539
Acre,2022,0.523
Alagoas,2018,0.55
Alagoas,2019,0.527
Alagoas,2020,0.51
Alagoas,2021,0.526
Alagoas,2022,0.498
Amapá,2018,0.547
Amapá,2019,0.513
Amapá,2020,0.5
Amapá,2021,0.53
Amapá,2022,0.531
Amazonas,2018,0.544
Amazonas,2019,0.566
Amazonas,2020,0.533
Amazonas,2021,0.541
Amazonas,2022,0.509
Bahia,2018,0.55
Bahia,2019,0.557
Bahia,2020,0.537
Bahia,2021,0.546
Bahia,2022,0.511
Ceará,2018,0.547
Ceará,2019,0.562
Ceará,2020,0.544
Ceará,2021,0.549
Ceará,2022,0.518
Distrito Federal,2018,0.57
Distrito Federal,2019,0.554
Distrito Federal,2020,0.548
Distrito Federal,2021,0.566
Distrito Federal,2022,0.536
Espírito Santo,2018,0.509
Espírito Santo,2019,0.52
Espírito Santo,2020,0.484
Espírito Santo,2021,0.509
Espírito Santo,2022,0.493
Goiás,2018,0.47
Goiás,2019,0.46
Goiás,2020,0.445
Goiás,2021,0.467
Goiás,2022,0.456
Maranhão,2018,0.528
Maranhão,2019,0.531
Maranhão,2020,0.482
Maranhão,2021,0.53
Maranhão,2022,0.491
Mato Grosso,2018,0.465
Mato Grosso,2019,0.454
Mato Grosso,2020,0.462
Mato Grosso,2021,0.461
Mato Grosso,2022,0.45
Mato Grosso do Sul,2018,0.49
Mato Grosso do Sul,2019,0.483
Mato Grosso do Sul,2020,0.47
Mato Grosso do Sul,2021,0.496
Mato Grosso do Sul,2022,0.478
Minas Gerais,2018,0.492
Minas Gerais,2019,0.487
Minas Gerais,2020,0.46
Minas Gerais,2021,0.487
Minas Gerais,2022,0.466
Paraná,2018,0.492
Paraná,2019,0.477
Paraná,2020,0.462
Paraná,2021,0.475
Paraná,2022,0.47
Paraíba,2018,0.549
Paraíba,2019,0.561
Paraíba,2020,0.512
Paraíba,2021,0.562
Paraíba,2022,0.558
Pará,2018,0.562
Pará,2019,0.528
Pará,2020,0.48
Pará,2021,0.529
Pará,2022,0.508
Pernambuco,2018,0.534
Pernambuco,2019,0.574
Pernambuco,2020,0.536
Pernambuco,2021,0.579
Pernambuco,2022,0.515
Piauí,2018,0.53
Piauí,2019,0.537
Piauí,2020,0.474
Piauí,2021,0.516
Piauí,2022,0.518
Rio Grande do Norte,2018,0.54
Rio Grande do Norte,2019,0.554
Rio Grande do Norte,2020,0.512
Rio Grande do Norte,2021,0.587
Rio Grande do Norte,2022,0.526
Rio Grande do Sul,2018,0.487
Rio Grande do Sul,2019,0.482
Rio Grande do Sul,2020,0.476
Rio Grande do Sul,2021,0.468
Rio Grande do Sul,2022,0.467
Rio de Janeiro,2018,0.543
Rio de Janeiro,2019,0.552
Rio de Janeiro,2020,0.548
Rio de Janeiro,2021,0.565
Rio de Janeiro,2022,0.54
Rondônia,2018,0.496
Rondônia,2019,0.472
Rondônia,2020,0.439
Rondônia,2021,0.459
Rondônia,2022,0.447
Roraima,2018,0.566
Roraima,2019,0.58
Roraima,2020,0.54
Roraima,2021,0.596
Roraima,2022,0.547
Santa Catarina,2018,0.417
Santa Catarina,2019,0.421
Santa Catarina,2020,0.412
Santa Catarina,2021,0.424
Santa Catarina,2022,0.419
Sergipe,2018,0.578
Sergipe,2019,0.581
Sergipe,2020,0.524
Sergipe,2021,0.568
Sergipe,2022,0.528
São Paulo,2018,0.538
São Paulo,2019,0.526
São Paulo,2020,0.522
São Paulo,2021,0.533
São Paulo,2022,0.5
Tocantins,2018,0.529
Tocantins,2019,0.53
Tocantins,2020,0.485
Tocantins,2021,0.514
Tocantins,2022,0.507
