UF,Ano,Taxa_Gravidez_Adolescente
Acre,2018,24.22
Acre,2019,23.36
Acre,2020,21.81
Acre,2021,22.7
Acre,2022,21.66
Alagoas,2018,22.46
Alagoas,2019,21.16
Alagoas,2020,20.21
Alagoas,2021,19.67
Alagoas,2022,17.46
Amapá,2018,23.17
Amapá,2019,20.99
Amapá,2020,19.31
Amapá,2021,19.81
Amapá,2022,19.53
Amazonas,2018,22.09
Amazonas,2019,21.83
Amazonas,2020,20.75
Amazonas,2021,20.61
Amazonas,2022,19.67
Bahia,2018,17.75
Bahia,2019,16.96
Bahia,2020,15.94
Bahia,2021,15.55
Bahia,2022,14.29
Ceará,2018,16.05
Ceará,2019,14.97
Ceará,2020,13.9
Ceará,2021,14.0
Ceará,2022,13.11
Distrito Federal,2018,10.62
Distrito Federal,2019,10.26
Distrito Federal,2020,9.47
Distrito Federal,2021,8.68
Distrito Federal,2022,7.91
Espírito Santo,2018,13.52
Espírito Santo,2019,13.12
Espírito Santo,2020,12.54
Espírito Santo,2021,12.18
Espírito Santo,2022,11.0
Goiás,2018,14.13
Goiás,2019,13.57
Goiás,2020,12.87
Goiás,2021,12.8
Goiás,2022,11.65
Maranhão,2018,23.26
Maranhão,2019,22.18
Maranhão,2020,20.91
Maranhão,2021,20.73
Maranhão,2022,19.59
Mato Grosso,2018,15.24
Mato Grosso,2019,15.25
Mato Grosso,2020,14.5
Mato Grosso,2021,14.55
Mato Grosso,2022,14.07
Mato Grosso do Sul,2018,16.79
Mato Grosso do Sul,2019,16.27
Mato Grosso do Sul,2020,15.21
Mato Grosso do Sul,2021,14.95
Mato Grosso do Sul,2022,14.29
Minas Gerais,2018,12.84
Minas Gerais,2019,12.18
Minas Gerais,2020,11.43
Minas Gerais,2021,10.92
Minas Gerais,2022,10.0
Paraná,2018,13.07
Paraná,2019,12.26
Paraná,2020,11.27
Paraná,2021,11.05
Paraná,2022,10.02
Paraíba,2018,16.86
Paraíba,2019,16.3
Paraíba,2020,15.6
Paraíba,2021,15.86
Paraíba,2022,14.45
Pará,2018,22.28
Pará,2019,21.86
Pará,2020,20.98
Pará,2021,21.24
Pará,2022,20.55
Pernambuco,2018,17.3
Pernambuco,2019,16.57
Pernambuco,2020,16.09
Pernambuco,2021,16.31
Pernambuco,2022,14.92
Piauí,2018,19.16
Piauí,2019,18.25
Piauí,2020,17.22
Piauí,2021,17.23
Piauí,2022,15.29
Rio Grande do Norte,2018,16.04
Rio Grande do Norte,2019,15.44
Rio Grande do Norte,2020,14.17
Rio Grande do Norte,2021,13.77
Rio Grande do Norte,2022,12.49
Rio Grande do Sul,2018,11.9
Rio Grande do Sul,2019,11.05
Rio Grande do Sul,2020,10.37
Rio Grande do Sul,2021,9.57
Rio Grande do Sul,2022,8.66
Rio de Janeiro,2018,14.37
Rio de Janeiro,2019,13.62
Rio de Janeiro,2020,13.03
Rio de Janeiro,2021,12.21
Rio de Janeiro,2022,11.12
Rondônia,2018,17.26
Rondônia,2019,16.65
Rondônia,2020,15.59
Rondônia,2021,15.58
Rondônia,2022,14.18
Roraima,2018,19.42
Roraima,2019,18.82
Roraima,2020,17.58
Roraima,2021,17.96
Roraima,2022,17.34
Santa Catarina,2018,10.89
Santa Catarina,2019,10.24
Santa Catarina,2020,9.49
Santa Catarina,2021,9.03
Santa Catarina,2022,8.59
Sergipe,2018,18.34
Sergipe,2019,17.12
Sergipe,2020,16.66
Sergipe,2021,15.8
Sergipe,2022,14.76
São Paulo,2018,11.06
São Paulo,2019,10.3
São Paulo,2020,9.7
São Paulo,2021,9.27
São Paulo,2022,8.36
Tocantins,2018,19.31
Tocantins,2019,18.66
Tocantins,2020,18.18
Tocantins,2021,17.62
Tocantins,2022,16.79
