UF,Ano,IDHM
Acre,2018,0.733
Acre,2019,0.739
Acre,2020,0.746
Acre,2021,0.71
Acre,2022,0.71
Alagoas,2018,0.689
Alagoas,2019,0.687
Alagoas,2020,0.694
Alagoas,2021,0.684
Alagoas,2022,0.684
Amapá,2018,0.741
Amapá,2019,0.737
Amapá,2020,0.724
Amapá,2021,0.688
Amapá,2022,0.688
Amazonas,2018,0.718
Amazonas,2019,0.726
Amazonas,2020,0.727
Amazonas,2021,0.7
Amazonas,2022,0.7
Bahia,2018,0.71
Bahia,2019,0.718
Bahia,2020,0.724
Bahia,2021,0.691
Bahia,2022,0.691
Ceará,2018,0.739
Ceará,2019,0.744
Ceará,2020,0.755
Ceará,2021,0.734
Ceará,2022,0.734
Distrito Federal,2018,0.845
Distrito Federal,2019,0.859
Distrito Federal,2020,0.829
Distrito Federal,2021,0.814
Distrito Federal,2022,0.814
Espírito Santo,2018,0.788
Espírito Santo,2019,0.793
Espírito Santo,2020,0.792
Espírito Santo,2021,0.771
Espírito Santo,2022,0.771
Goiás,2018,0.771
Goiás,2019,0.774
Goiás,2020,0.758
Goiás,2021,0.737
Goiás,2022,0.737
Maranhão,2018,0.686
Maranhão,2019,0.694
Maranhão,2020,0.699
Maranhão,2021,0.676
Maranhão,2022,0.676
Mato Grosso,2018,0.778
Mato Grosso,2019,0.779
Mato Grosso,2020,0.756
Mato Grosso,2021,0.736
Mato Grosso,2022,0.736
Mato Grosso do Sul,2018,0.77
Mato Grosso do Sul,2019,0.777
Mato Grosso do Sul,2020,0.76
Mato Grosso do Sul,2021,0.742
Mato Grosso do Sul,2022,0.742
Minas Gerais,2018,0.784
Minas Gerais,2019,0.793
Minas Gerais,2020,0.789
Minas Gerais,2021,0.774
Minas Gerais,2022,0.774
Paraná,2018,0.805
Paraná,2019,0.807
Paraná,2020,0.787
Paraná,2021,0.769
Paraná,2022,0.769
Paraíba,2018,0.711
Paraíba,2019,0.713
Paraíba,2020,0.714
Paraíba,2021,0.698
Paraíba,2022,0.698
Pará,2018,0.707
Pará,2019,0.704
Pará,2020,0.719
Pará,2021,0.69
Pará,2022,0.69
Pernambuco,2018,0.735
Pernambuco,2019,0.74
Pernambuco,2020,0.739
Pernambuco,2021,0.719
Pernambuco,2022,0.719
Piauí,2018,0.699
Piauí,2019,0.706
Piauí,2020,0.708
Piauí,2021,0.69
Piauí,2022,0.69
Rio Grande do Norte,2018,0.739
Rio Grande do Norte,2019,0.742
Rio Grande do Norte,2020,0.75
Rio Grande do Norte,2021,0.728
Rio Grande do Norte,2022,0.728
Rio Grande do Sul,2018,0.797
Rio Grande do Sul,2019,0.801
Rio Grande do Sul,2020,0.78
Rio Grande do Sul,2021,0.771
Rio Grande do Sul,2022,0.771
Rio de Janeiro,2018,0.805
Rio de Janeiro,2019,0.809
Rio de Janeiro,2020,0.785
Rio de Janeiro,2021,0.762
Rio de Janeiro,2022,0.762
Rondônia,2018,0.73
Rondônia,2019,0.73
Rondônia,2020,0.739
Rondônia,2021,0.7
Rondônia,2022,0.7
Roraima,2018,0.76
Roraima,2019,0.749
Roraima,2020,0.739
Roraima,2021,0.699
Roraima,2022,0.699
Santa Catarina,2018,0.819
Santa Catarina,2019,0.826
Santa Catarina,2020,0.803
Santa Catarina,2021,0.792
Santa Catarina,2022,0.792
Sergipe,2018,0.71
Sergipe,2019,0.705
Sergipe,2020,0.722
Sergipe,2021,0.702
Sergipe,2022,0.702
São Paulo,2018,0.837
São Paulo,2019,0.845
São Paulo,2020,0.823
São Paulo,2021,0.806
São Paulo,2022,0.806
Tocantins,2018,0.749
Tocantins,2019,0.751
Tocantins,2020,0.755
Tocantins,2021,0.731
Tocantins,2022,0.731
