UF,ano,Taxa_Evasao_Media,Taxa_Repetencia_Media,Taxa_Evasao_EF,Taxa_Evasao_EM,Taxa_Repetencia_EF,Taxa_Repetencia_EM
Rondônia,2018.0,2.2,6.35,1.4,3.0,6.9,5.8
Acre,2018.0,2.95,5.699999999999999,2.2,3.7,6.1,5.3
Amazonas,2018.0,3.85,5.95,2.8,4.9,6.9,5.0
Roraima,2018.0,2.9,7.95,2.0,3.8,7.0,8.9
Pará,2018.0,4.6,9.2,3.6,5.6,11.2,7.2
Amapá,2018.0,3.3499999999999996,10.3,2.4,4.3,10.4,10.2
Tocantins,2018.0,1.7,7.5,1.1,2.3,7.4,7.6
Maranhão,2018.0,3.0999999999999996,6.85,2.3,3.9,7.7,6.0
Piauí,2018.0,2.4,7.55,1.8,3.0,9.5,5.6
Ceará,2018.0,1.05,3.0,0.9,1.2,3.7,2.3
Rio Grande do Norte,2018.0,3.1500000000000004,9.85,2.6,3.7,11.9,7.8
Paraíba,2018.0,3.55,8.9,3.0,4.1,9.8,8.0
Pernambuco,2018.0,1.55,5.9,1.3,1.8,6.8,5.0
Alagoas,2018.0,3.7,7.050000000000001,2.9,4.5,7.7,6.4
Sergipe,2018.0,3.25,11.9,2.5,4.0,13.8,10.0
Bahia,2018.0,3.85,11.75,3.3,4.4,12.4,11.1
Minas Gerais,2018.0,1.85,7.0,1.1,2.6,5.7,8.3
Espírito Santo,2018.0,0.85,7.9,0.7,1.0,8.6,7.2
Rio de Janeiro,2018.0,1.5,8.8,1.3,1.7,9.4,8.2
São Paulo,2018.0,0.95,3.75,0.5,1.4,2.7,4.8
Paraná,2018.0,1.5,8.1,0.8,2.2,7.2,9.0
Santa Catarina,2018.0,0.8,6.8,0.5,1.1,6.5,7.1
Rio Grande do Sul,2018.0,1.3,10.7,0.9,1.7,11.1,10.3
Mato Grosso do Sul,2018.0,2.15,8.7,1.3,3.0,9.4,8.0
Mato Grosso,2018.0,1.15,4.550000000000001,0.6,1.7,2.2,6.9
Goiás,2018.0,1.15,3.7,0.8,1.5,3.9,3.5
Distrito Federal,2018.0,0.95,7.2,0.7,1.2,5.0,9.4
Rondônia,2019.0,1.7,5.2,1.1,2.3,5.9,4.5
Acre,2019.0,2.9000000000000004,4.55,2.1,3.7,5.2,3.9
Amazonas,2019.0,3.2,5.15,2.4,4.0,5.9,4.4
Roraima,2019.0,3.3,7.050000000000001,1.9,4.7,6.2,7.9
Pará,2019.0,3.5999999999999996,9.35,2.9,4.3,10.6,8.1
Amapá,2019.0,3.05,9.0,2.0,4.1,9.6,8.4
Tocantins,2019.0,1.35,6.1,0.9,1.8,6.1,6.1
Maranhão,2019.0,2.45,5.5,1.8,3.1,6.5,4.5
Piauí,2019.0,1.6,5.45,1.3,1.9,6.9,4.0
Ceará,2019.0,0.7,2.2,0.7,0.7,2.7,1.7
Rio Grande do Norte,2019.0,2.4,9.0,2.0,2.8,11.2,6.8
Paraíba,2019.0,2.75,8.1,2.3,3.2,9.0,7.2
Pernambuco,2019.0,1.05,5.1,0.9,1.2,5.8,4.4
Alagoas,2019.0,1.65,3.8000000000000003,1.5,1.8,4.4,3.2
Sergipe,2019.0,2.55,11.35,2.0,3.1,12.7,10.0
Bahia,2019.0,3.0,9.649999999999999,2.6,3.4,10.7,8.6
Minas Gerais,2019.0,1.1,6.35,0.6,1.6,5.4,7.3
Espírito Santo,2019.0,0.6,6.25,0.5,0.7,7.1,5.4
Rio de Janeiro,2019.0,1.2,7.65,1.0,1.4,8.1,7.2
São Paulo,2019.0,0.7,3.0,0.4,1.0,2.1,3.9
Paraná,2019.0,0.85,5.4,0.5,1.2,5.0,5.8
Santa Catarina,2019.0,0.65,6.85,0.4,0.9,6.5,7.2
Rio Grande do Sul,2019.0,1.3,8.9,0.9,1.7,9.4,8.4
Mato Grosso do Sul,2019.0,1.9000000000000001,7.300000000000001,1.1,2.7,8.3,6.3
Mato Grosso,2019.0,1.45,5.949999999999999,0.6,2.3,3.7,8.2
Goiás,2019.0,0.95,3.15,0.6,1.3,3.3,3.0
Distrito Federal,2019.0,1.3,8.15,0.8,1.8,5.3,11.0
Rondônia,2020.0,2.3,1.75,2.1,2.5,1.2,2.3
Acre,2020.0,1.7000000000000002,2.4,1.8,1.6,2.0,2.8
Amazonas,2020.0,0.75,0.5,0.8,0.7,0.5,0.5
Roraima,2020.0,0.6499999999999999,0.4,0.7,0.6,0.4,0.4
Pará,2020.0,1.65,0.55,1.7,1.6,0.6,0.5
Amapá,2020.0,1.5,2.95,1.4,1.6,2.3,3.6
Tocantins,2020.0,1.6,1.4,1.1,2.1,1.1,1.7
Maranhão,2020.0,2.5999999999999996,1.05,2.3,2.9,0.9,1.2
Piauí,2020.0,1.8,0.6,1.6,2.0,0.7,0.5
Ceará,2020.0,0.75,0.15000000000000002,0.9,0.6,0.2,0.1
Rio Grande do Norte,2020.0,1.3,0.65,1.6,1.0,0.5,0.8
Paraíba,2020.0,2.1,0.45,2.5,1.7,0.5,0.4
Pernambuco,2020.0,0.8500000000000001,0.35,1.3,0.4,0.4,0.3
Alagoas,2020.0,0.8500000000000001,0.3,1.1,0.6,0.3,0.3
Sergipe,2020.0,0.8,0.35,1.1,0.5,0.4,0.3
Bahia,2020.0,1.9,0.75,2.1,1.7,0.7,0.8
Minas Gerais,2020.0,2.5,0.4,1.9,3.1,0.4,0.4
Espírito Santo,2020.0,0.55,0.2,0.5,0.6,0.2,0.2
Rio de Janeiro,2020.0,0.8999999999999999,1.35,1.2,0.6,1.0,1.7
São Paulo,2020.0,0.2,0.65,0.2,0.2,0.5,0.8
Paraná,2020.0,0.8,1.9000000000000001,0.5,1.1,1.6,2.2
Santa Catarina,2020.0,0.30000000000000004,3.7,0.2,0.4,2.4,5.0
Rio Grande do Sul,2020.0,0.5,0.55,0.3,0.7,0.5,0.6
