sigla_uf,localizacao,rede,taxa_promocao_ef,taxa_promocao_ef_5_ano,taxa_promocao_ef_6_ano,taxa_promocao_ef_7_ano,taxa_promocao_ef_8_ano,taxa_promocao_ef_9_ano,taxa_promocao_em,taxa_promocao_em_1_ano,taxa_promocao_em_2_ano,taxa_promocao_em_3_ano,taxa_repetencia_ef,taxa_repetencia_ef_5_ano,taxa_repetencia_ef_6_ano,taxa_repetencia_ef_7_ano,taxa_repetencia_ef_8_ano,taxa_repetencia_ef_9_ano,taxa_repetencia_em,taxa_repetencia_em_1_ano,taxa_repetencia_em_2_ano,taxa_repetencia_em_3_ano,taxa_evasao_ef,taxa_evasao_ef_5_ano,taxa_evasao_ef_6_ano,taxa_evasao_ef_7_ano,taxa_evasao_ef_8_ano,taxa_evasao_ef_9_ano,taxa_evasao_em,taxa_evasao_em_1_ano,taxa_evasao_em_2_ano,taxa_evasao_em_3_ano
AC,Total,Privada,96.7,97.8,97.3,97.7,97.1,98.1,97.7,97.4,96.5,99.6,1.6,0.5,1.2,1.8,1.1,0.1,0.5,0.7,0.4,0.2,1.7,1.7,1.5,0.5,1.8,1.8,1.7,1.8,3.1,0.2
AC,Total,Total,88.5,85.0,87.8,88.4,87.8,83.0,80.7,75.7,81.5,88.1,7.2,6.9,8.0,7.2,7.3,7.4,11.7,15.9,10.0,6.8,4.0,7.7,3.8,3.8,4.1,8.5,6.4,6.8,7.1,4.6
AC,Urbana,Total,91.8,90.7,90.1,91.4,90.3,88.7,80.8,75.6,81.8,88.0,5.2,4.2,7.0,5.7,6.3,5.0,12.4,16.9,11.1,6.4,2.6,4.6,2.6,2.2,2.7,5.4,5.6,5.8,5.7,5.0
AC,Total,Pública,88.1,84.4,87.4,88.0,87.4,82.3,80.0,74.9,80.9,87.5,7.4,7.3,8.3,7.4,7.5,7.8,12.2,16.5,10.4,7.2,4.1,8.0,3.9,3.9,4.2,8.8,6.6,7.0,7.3,4.8
AC,Rural,Total,82.0,74.4,82.4,82.5,82.5,70.9,80.6,76.1,80.3,88.3,11.0,12.1,10.5,10.1,9.5,12.8,9.0,11.7,6.2,8.6,6.6,13.4,6.7,7.0,7.1,15.0,9.5,11.3,12.3,2.7
AL,Total,Privada,89.7,90.9,90.2,92.9,94.7,92.8,92.9,90.4,91.0,98.7,5.1,4.3,5.7,3.2,2.1,2.9,1.8,2.9,1.5,0.5,5.1,4.8,4.0,3.8,3.0,4.1,5.1,6.3,7.1,0.8
AL,Urbana,Total,92.9,91.1,93.5,93.7,92.7,88.8,90.9,87.9,89.1,98.2,2.6,3.3,2.7,1.7,1.7,2.1,2.3,3.4,1.6,1.3,3.7,5.1,2.7,3.0,3.2,8.0,4.9,6.1,6.8,0.4
AL,Total,Pública,94.1,92.2,94.4,93.7,92.1,87.2,90.6,87.5,88.6,98.3,1.8,2.6,2.0,1.4,1.6,1.7,2.3,3.4,1.6,1.3,3.1,4.6,2.4,2.8,3.4,10.0,5.0,6.2,7.0,0.3
AL,Total,Total,93.3,92.0,93.7,93.6,92.5,88.1,90.9,87.9,89.0,98.3,2.4,2.9,2.5,1.6,1.7,1.9,2.2,3.3,1.6,1.2,3.5,4.6,2.7,2.9,3.3,9.0,5.0,6.2,7.1,0.4
AL,Rural,Total,94.7,94.2,94.9,93.3,92.0,84.7,90.6,87.8,86.7,99.8,1.7,1.9,1.7,1.3,1.6,0.9,0.7,1.2,0.5,0.2,2.9,3.3,2.4,2.8,3.7,13.6,7.0,7.9,11.7,0.0
