UF,Ano,PIB_Total_MilReais
Acre,2018,15331123.0
Acre,2019,15630017.0
Acre,2020,16476371.0
Acre,2021,21374440.0
Acre,2022,23676136.0
Alagoas,2018,54413047.0
Alagoas,2019,58963729.0
Alagoas,2020,63202349.0
Alagoas,2021,76265620.0
Alagoas,2022,76065806.0
Amapá,2018,16795207.0
Amapá,2019,17496661.0
Amapá,2020,18469115.0
Amapá,2021,20099851.0
Amapá,2022,23614291.0
Amazonas,2018,100109235.0
Amazonas,2019,108181091.0
Amazonas,2020,116019139.0
Amazonas,2021,131531038.0
Amazonas,2022,145140465.0
Bahia,2018,286239541.0
Bahia,2019,293240504.0
Bahia,2020,305320813.0
Bahia,2021,352617852.0
Bahia,2022,402646606.0
Ceará,2018,155903825.0
Ceará,2019,163575327.0
Ceará,2020,166914536.0
Ceará,2021,194884802.0
Ceará,2022,213600674.0
Distrito Federal,2018,254817205.0
Distrito Federal,2019,273613711.0
Distrito Federal,2020,265847334.0
Distrito Federal,2021,286943782.0
Distrito Federal,2022,328789563.0
Espírito Santo,2018,137020055.0
Espírito Santo,2019,137345595.0
Espírito Santo,2020,138445922.0
Espírito Santo,2021,186336505.0
Espírito Santo,2022,182548590.0
Goiás,2018,195681724.0
Goiás,2019,208672492.0
Goiás,2020,224126112.0
Goiás,2021,269627874.0
Goiás,2022,318586149.0
Maranhão,2018,98179496.0
Maranhão,2019,97339938.0
Maranhão,2020,106915962.0
Maranhão,2021,124980720.0
Maranhão,2022,139789146.0
Mato Grosso,2018,137442853.0
Mato Grosso,2019,142122028.0
Mato Grosso,2020,178649564.0
Mato Grosso,2021,233390203.0
Mato Grosso,2022,255527297.0
Mato Grosso do Sul,2018,106969142.0
Mato Grosso do Sul,2019,106943246.0
Mato Grosso do Sul,2020,122627726.0
Mato Grosso do Sul,2021,142203766.0
Mato Grosso do Sul,2022,166407329.0
Minas Gerais,2018,614875820.0
Minas Gerais,2019,651872684.0
Minas Gerais,2020,682786116.0
Minas Gerais,2021,857593214.0
Minas Gerais,2022,906730670.0
Paraná,2018,440029403.0
Paraná,2019,466377036.0
Paraná,2020,487930594.0
Paraná,2021,549973062.0
Paraná,2022,614610848.0
Paraíba,2018,64373595.0
Paraíba,2019,67986074.0
Paraíba,2020,70292034.0
Paraíba,2021,77470331.0
Paraíba,2022,86094173.0
Pará,2018,161349602.0
Pará,2019,178376984.0
Pará,2020,215935604.0
Pará,2021,262904979.0
Pará,2022,236141874.0
Pernambuco,2018,186351975.0
Pernambuco,2019,197853378.0
Pernambuco,2020,193307317.0
Pernambuco,2021,220813522.0
Pernambuco,2022,245828017.0
Piauí,2018,50378418.0
Piauí,2019,52780785.0
Piauí,2020,56391257.0
Piauí,2021,64028303.0
Piauí,2022,72834504.0
Rio Grande do Norte,2018,66969562.0
Rio Grande do Norte,2019,71336780.0
Rio Grande do Norte,2020,71577107.0
Rio Grande do Norte,2021,80180733.0
Rio Grande do Norte,2022,93819291.0
Rio Grande do Sul,2018,457293958.0
Rio Grande do Sul,2019,482464177.0
Rio Grande do Sul,2020,470941846.0
Rio Grande do Sul,2021,581283677.0
Rio Grande do Sul,2022,593633656.0
Rio de Janeiro,2018,758859047.0
Rio de Janeiro,2019,779927917.0
Rio de Janeiro,2020,753823711.0
Rio de Janeiro,2021,949300770.0
Rio de Janeiro,2022,1153512155.0
Rondônia,2018,44913978.0
Rondônia,2019,47091336.0
Rondônia,2020,51598741.0
Rondônia,2021,58170096.0
Rondônia,2022,66795454.0
Roraima,2018,13369988.0
Roraima,2019,14292227.0
Roraima,2020,16024276.0
Roraima,2021,18202579.0
Roraima,2022,21095342.0
Santa Catarina,2018,298227090.0
Santa Catarina,2019,323263857.0
Santa Catarina,2020,349275016.0
Santa Catarina,2021,428570889.0
Santa Catarina,2022,466274103.0
Sergipe,2018,42017981.0
Sergipe,2019,44689483.0
Sergipe,2020,45409657.0
Sergipe,2021,51861397.0
Sergipe,2022,57372241.0
São Paulo,2018,2210561949.0
São Paulo,2019,2348338000.0
São Paulo,2020,2377638980.0
São Paulo,2021,2719751231.0
São Paulo,2022,3130333203.0
Tocantins,2018,35666183.0
Tocantins,2019,39355941.0
Tocantins,2020,43649803.0
Tocantins,2021,51780764.0
Tocantins,2022,58208795.0
