UF,Ano,Renda_Per_Capita
Acre,2018,868.0
Acre,2019,854.0
Acre,2020,888.0
Acre,2021,885.0
Acre,2022,1028.0
Alagoas,2018,681.0
Alagoas,2019,704.0
Alagoas,2020,768.0
Alagoas,2021,759.0
Alagoas,2022,922.0
Amapá,2018,818.0
Amapá,2019,841.0
Amapá,2020,856.0
Amapá,2021,846.0
Amapá,2022,1163.0
Amazonas,2018,761.0
Amazonas,2019,804.0
Amazonas,2020,828.0
Amazonas,2021,812.0
Amazonas,2022,947.0
Bahia,2018,807.0
Bahia,2019,883.0
Bahia,2020,947.0
Bahia,2021,848.0
Bahia,2022,1000.0
Ceará,2018,818.0
Ceará,2019,907.0
Ceará,2020,980.0
Ceará,2021,902.0
Ceará,2022,1037.0
Distrito Federal,2018,2355.0
Distrito Federal,2019,2513.0
Distrito Federal,2020,2384.0
Distrito Federal,2021,2488.0
Distrito Federal,2022,2802.0
Espírito Santo,2018,1250.0
Espírito Santo,2019,1398.0
Espírito Santo,2020,1323.0
Espírito Santo,2021,1285.0
Espírito Santo,2022,1663.0
Goiás,2018,1253.0
Goiás,2019,1256.0
Goiás,2020,1236.0
Goiás,2021,1275.0
Goiás,2022,1588.0
Maranhão,2018,586.0
Maranhão,2019,614.0
Maranhão,2020,662.0
Maranhão,2021,641.0
Maranhão,2022,833.0
Mato Grosso,2018,1325.0
Mato Grosso,2019,1326.0
Mato Grosso,2020,1345.0
Mato Grosso,2021,1326.0
Mato Grosso,2022,1623.0
Mato Grosso do Sul,2018,1373.0
Mato Grosso do Sul,2019,1443.0
Mato Grosso do Sul,2020,1424.0
Mato Grosso do Sul,2021,1440.0
Mato Grosso do Sul,2022,1796.0
Minas Gerais,2018,1241.0
Minas Gerais,2019,1293.0
Minas Gerais,2020,1290.0
Minas Gerais,2021,1312.0
Minas Gerais,2022,1505.0
Paraná,2018,1515.0
Paraná,2019,1554.0
Paraná,2020,1479.0
Paraná,2021,1536.0
Paraná,2022,1802.0
Paraíba,2018,849.0
Paraíba,2019,877.0
Paraíba,2020,861.0
Paraíba,2021,875.0
Paraíba,2022,1086.0
Pará,2018,822.0
Pará,2019,769.0
Pará,2020,863.0
Pará,2021,830.0
Pará,2022,1063.0
Pernambuco,2018,829.0
Pernambuco,2019,921.0
Pernambuco,2020,882.0
Pernambuco,2021,841.0
Pernambuco,2022,991.0
Piauí,2018,778.0
Piauí,2019,802.0
Piauí,2020,836.0
Piauí,2021,851.0
Piauí,2022,1092.0
Rio Grande do Norte,2018,921.0
Rio Grande do Norte,2019,998.0
Rio Grande do Norte,2020,1045.0
Rio Grande do Norte,2021,1114.0
Rio Grande do Norte,2022,1235.0
Rio Grande do Sul,2018,1609.0
Rio Grande do Sul,2019,1757.0
Rio Grande do Sul,2020,1714.0
Rio Grande do Sul,2021,1774.0
Rio Grande do Sul,2022,2033.0
Rio de Janeiro,2018,1599.0
Rio de Janeiro,2019,1753.0
Rio de Janeiro,2020,1664.0
Rio de Janeiro,2021,1690.0
Rio de Janeiro,2022,1928.0
Rondônia,2018,1072.0
Rondônia,2019,1082.0
Rondônia,2020,1109.0
Rondônia,2021,1016.0
Rondônia,2022,1323.0
Roraima,2018,1161.0
Roraima,2019,1018.0
Roraima,2020,950.0
Roraima,2021,1030.0
Roraima,2022,1246.0
Santa Catarina,2018,1576.0
Santa Catarina,2019,1678.0
Santa Catarina,2020,1601.0
Santa Catarina,2021,1692.0
Santa Catarina,2022,1958.0
Sergipe,2018,870.0
Sergipe,2019,933.0
Sergipe,2020,994.0
Sergipe,2021,925.0
Sergipe,2022,1150.0
São Paulo,2018,1777.0
São Paulo,2019,1839.0
São Paulo,2020,1787.0
São Paulo,2021,1823.0
São Paulo,2022,2073.0
Tocantins,2018,997.0
Tocantins,2019,1004.0
Tocantins,2020,1019.0
Tocantins,2021,1058.0
Tocantins,2022,1358.0
