"Tabela 10333 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio, por tempo habitual de deslocamento do domicílio para o trabalho principal, nível de instrução, grupo de idade e cor ou raça",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
"Variável - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, que, no trabalho principal, trabalhavam fora do domicílio (Pessoas)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Região Geográfica Intermediária,Grupo de idade,Cor ou raça,Ano x Tempo habitual de deslocamento do domicílio para o trabalho principal x Nível de instrução,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,Até cinco minutos,,,,,De seis minutos até quinze minutos,,,,,Mais de quinze minutos até meia hora,,,,,Mais de meia hora até uma hora,,,,,Mais de uma hora até duas horas,,,,,Mais de duas horas até quatro horas,,,,,Mais de quatro horas,,,,
,,,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo,Total,Sem instrução e fundamental incompleto,Fundamental completo e médio incompleto,Médio completo e superior incompleto,Superior completo
Porto Velho,Total,Total,265523,65623,42683,98511,58705,34772,7037,4923,13379,9434,87092,17089,13021,33626,23356,86267,21972,14185,33209,16901,34107,10650,6085,11708,5665,16051,6064,3074,4476,2437,2528,1167,570,561,230,1776,771,261,501,242
,,Branca,71018,14113,9568,25367,21970,10419,1811,1149,3810,3649,25674,4022,3146,9098,9408,21065,4106,2909,8117,5932,7932,2328,1179,2682,1743,3971,1022,868,1174,907,752,331,169,178,75,459,217,46,97,98
,,Preta,30464,9106,5281,10701,5376,3817,790,785,1404,839,8941,2142,1344,3463,1992,10555,3315,1804,3806,1631,4225,1570,852,1213,591,2103,909,368,606,219,327,173,67,64,23,236,87,40,88,21
,,Amarela,622,50,146,190,236,64,11,9,22,22,238,9,36,54,138,191,-,85,94,12,129,30,15,21,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,Parda,162108,41750,27456,61955,30947,20176,4368,2930,8022,4857,51963,10795,8436,20955,11778,54080,14371,9316,21111,9281,21545,6549,3993,7760,3242,9925,4084,1836,2695,1309,1447,663,333,317,133,1058,445,174,315,123
