TÍTULO : BET - BANCO DE ESTRUTURAS TERRITORIAIS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
RELATÓRIO DE DIVISÃO TERRITORIAL BRASILEIRA,,,,,,,,,,,,,,,,,,,,,,,,
UF: 99 - BRASIL,,,,,,,,,,,,,,,,,,,,,,,,
DATA BASE: 31/12/2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Município,Código Município Completo,Nome_Município,Distrito,Código de Distrito Completo,Nome_Distrito,OBS,,Código de Distrito Completo,Nome_Distrito,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,05,110001505,Alta Floresta D'Oeste,,1.0,110001505,Alta Floresta D'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,15,110001515,Filadélfia d'Oeste,,1.0,110001515,Filadélfia d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,20,110001520,Izidolândia,,1.0,110001520,Izidolândia,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,25,110001525,Nova Gease d'Oeste,,1.0,110001525,Nova Gease d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,30,110001530,Rolim de Moura do Guaporé,,1.0,110001530,Rolim de Moura do Guaporé,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00015,1100015,Alta Floresta D'Oeste,35,110001535,Santo Antônio d'Oeste,,1.0,110001535,Santo Antônio d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00379,1100379,Alto Alegre dos Parecis,05,110037905,Alto Alegre dos Parecis,,1.0,110037905,Alto Alegre dos Parecis,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00403,1100403,Alto Paraíso,05,110040305,Alto Paraíso,,1.0,110040305,Alto Paraíso,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00346,1100346,Alvorada D'Oeste,05,110034605,Alvorada D'Oeste,,1.0,110034605,Alvorada D'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00346,1100346,Alvorada D'Oeste,25,110034625,Tancredópolis,,1.0,110034625,Tancredópolis,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00346,1100346,Alvorada D'Oeste,30,110034630,Terra Boa,,1.0,110034630,Terra Boa,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00023,1100023,Ariquemes,05,110002305,Ariquemes,,1.0,110002305,Ariquemes,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00452,1100452,Buritis,05,110045205,Buritis,,1.0,110045205,Buritis,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00031,1100031,Cabixi,05,110003105,Cabixi,,1.0,110003105,Cabixi,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00601,1100601,Cacaulândia,05,110060105,Cacaulândia,,1.0,110060105,Cacaulândia,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00049,1100049,Cacoal,05,110004905,Cacoal,,1.0,110004905,Cacoal,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00049,1100049,Cacoal,10,110004910,Riozinho,,1.0,110004910,Riozinho,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00049,1100049,Cacoal,15,110004915,Divinópolis,,1.0,110004915,Divinópolis,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00700,1100700,Campo Novo de Rondônia,05,110070005,Campo Novo de Rondônia,,1.0,110070005,Campo Novo de Rondônia,,,,,,,,,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00809,1100809,Candeias do Jamari,05,110080905,Candeias do Jamari,,1.0,110080905,Candeias do Jamari,,,,,,,,,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,00809,1100809,Candeias do Jamari,20,110080920,Rio Preto do Candeias,,1.0,110080920,Rio Preto do Candeias,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00908,1100908,Castanheiras,05,110090805,Castanheiras,,1.0,110090805,Castanheiras,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00056,1100056,Cerejeiras,05,110005605,Cerejeiras,,1.0,110005605,Cerejeiras,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00924,1100924,Chupinguaia,05,110092405,Chupinguaia,,1.0,110092405,Chupinguaia,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00064,1100064,Colorado do Oeste,05,110006405,Colorado do Oeste,,1.0,110006405,Colorado do Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,00072,1100072,Corumbiara,05,110007205,Corumbiara,,1.0,110007205,Corumbiara,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00080,1100080,Costa Marques,05,110008005,Costa Marques,,1.0,110008005,Costa Marques,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00080,1100080,Costa Marques,15,110008015,Real Forte Príncipe da Beira,,1.0,110008015,Real Forte Príncipe da Beira,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,00080,1100080,Costa Marques,35,110008035,São Domingos do Guaporé,,1.0,110008035,São Domingos do Guaporé,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,00940,1100940,Cujubim,05,110094005,Cujubim,,1.0,110094005,Cujubim,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,05,110009805,Espigão D'Oeste,,1.0,110009805,Espigão D'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,10,110009810,Boa Vista do Pacarana,,1.0,110009810,Boa Vista do Pacarana,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,12,110009812,Novo Paraíso,,1.0,110009812,Novo Paraíso,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,15,110009815,Flor da Serra,,1.0,110009815,Flor da Serra,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,00098,1100098,Espigão D'Oeste,18,110009818,Nova Esperança,,1.0,110009818,Nova Esperança,,,,,,,,,
