"Tabela 4099 - Taxas de desocupação e de subutilização da força de trabalho, na semana de referência, das pessoas de 14 anos ou mais de idade"
"Variável - Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade (%)"
"Nível";"Cód.";"Unidade da Federação";"Trimestre"
"Nível";"Cód.";"Unidade da Federação";"4º trimestre 2018";"4º trimestre 2019";"4º trimestre 2020";"4º trimestre 2021";"4º trimestre 2022";"3º trimestre 2025"
"UF";"11";"Rondônia";"9,1";"8,2";"11,1";"6,8";"3,1";"2,6"
"UF";"12";"Acre";"13,3";"13,8";"15,7";"13,2";"9,8";"7,4"
"UF";"13";"Amazonas";"14,6";"13,1";"15,7";"13,1";"10,1";"7,6"
"UF";"14";"Roraima";"14,2";"15,0";"14,5";"9,2";"4,6";"4,7"
"UF";"15";"Pará";"10,3";"9,2";"10,9";"10,9";"8,2";"6,5"
"UF";"16";"Amapá";"19,8";"15,8";"15,9";"17,4";"13,4";"8,7"
"UF";"17";"Tocantins";"10,5";"9,3";"11,3";"9,6";"5,2";"3,8"
"UF";"21";"Maranhão";"14,4";"12,5";"14,8";"13,6";"8,4";"6,1"
"UF";"22";"Piauí";"12,4";"13,3";"12,3";"11,9";"9,5";"7,5"
"UF";"23";"Ceará";"10,2";"10,3";"14,4";"11,1";"7,8";"6,4"
"UF";"24";"Rio Grande do Norte";"13,5";"12,9";"15,6";"12,8";"10,0";"7,5"
"UF";"25";"Paraíba";"11,2";"12,2";"15,7";"13,0";"10,3";"7,0"
"UF";"26";"Pernambuco";"15,6";"14,2";"19,4";"17,2";"12,3";"10,0"
"UF";"27";"Alagoas";"16,1";"13,7";"20,7";"14,6";"9,4";"7,7"
"UF";"28";"Sergipe";"15,2";"15,1";"18,3";"14,7";"12,0";"7,7"
"UF";"29";"Bahia";"17,7";"16,6";"20,6";"17,3";"13,5";"8,5"
"UF";"31";"Minas Gerais";"9,7";"9,6";"12,5";"9,5";"5,8";"4,1"
"UF";"32";"Espírito Santo";"10,4";"10,5";"13,5";"9,9";"7,3";"2,6"
"UF";"33";"Rio de Janeiro";"14,9";"13,8";"19,6";"14,2";"11,4";"7,5"
"UF";"35";"São Paulo";"12,6";"11,6";"14,8";"11,2";"7,7";"5,2"
"UF";"41";"Paraná";"7,9";"7,4";"10,1";"7,0";"5,2";"3,5"
"UF";"42";"Santa Catarina";"6,4";"5,5";"5,4";"4,4";"3,3";"2,3"
"UF";"43";"Rio Grande do Sul";"7,5";"7,3";"8,6";"8,1";"4,6";"4,1"
"UF";"50";"Mato Grosso do Sul";"7,0";"6,7";"9,6";"6,5";"3,3";"2,9"
"UF";"51";"Mato Grosso";"7,0";"6,5";"10,7";"5,9";"3,6";"2,3"
"UF";"52";"Goiás";"8,4";"10,6";"12,8";"8,8";"6,7";"4,5"
"UF";"53";"Distrito Federal";"12,1";"12,6";"14,5";"12,1";"10,3";"8,0"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua trimestral"

"Notas"
"A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente. Anteriormente, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho.
Além disso, a partir do 4º trimestre de 2015, também passaram a ser classificadas como ""ocupadas"" as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de parente, adicionalmente àquelas que ajudaram no trabalho remunerado de outro morador do mesmo domicílio. Anteriormente, eram consideradas ""ocupadas"" apenas as pessoas que ajudaram, sem receber remuneração, no trabalho remunerado de outro morador do mesmo domicílio.
A partir do 4º trimestre de 2015 houve mudança da forma de captação do quesito de horas efetivamente trabalhadas. Anteriormente, investigavam-se as horas trabalhadas diariamente, que eram somadas para obter o total semanal. A partir do referido trimestre, passou-se a perguntar diretamente a quantidade de horas semanais efetivamente trabalhadas.
A partir do 4º trimestre de 2015 houve mudança de conceito na subutilização da força de trabalho por insuficiência de horas trabalhadas. Anteriormente, considerava-se no cálculo do indicador as horas efetivamente trabalhadas e, a partir do referido trimestre, as habitualmente trabalhadas.
A partir de abril de 2016, um aspecto do conceito de desocupação foi alterado de forma a se adequar inteiramente à 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, realizada em outubro de 2013, sendo o questionário ajustado. Com a alteração desse aspecto, passam a ser considerados desocupados aqueles que conseguiram proposta de trabalho para começar após a semana de referência e que iriam começar a trabalhar em até 3 meses; os demais, isto é, aqueles que conseguiram proposta para começar a trabalhar após 3 meses da semana de referência, passam a ser contabilizados na população fora da força de trabalho. Anteriormente, eram considerados desocupados todos aqueles que conseguiram proposta de trabalho para começar após a semana de referência, independentemente do tempo em que iniciariam o trabalho que conseguiram.
A partir de 15 de agosto de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
