"Tabela 7435 - Índice de Gini do rendimento domiciliar per capita, a preços médios do ano"
"Variável - Índice de Gini do rendimento domiciliar per capita, a preços médios do ano (Índice)"
"Nível";"Cód.";"Unidade da Federação";"Ano"
"Nível";"Cód.";"Unidade da Federação";"2018";"2019";"2020";"2021";"2022"
"UF";"11";"Rondônia";"0,496";"0,472";"0,439";"0,459";"0,447"
"UF";"12";"Acre";"0,558";"0,559";"0,515";"0,539";"0,523"
"UF";"13";"Amazonas";"0,544";"0,566";"0,533";"0,541";"0,509"
"UF";"14";"Roraima";"0,566";"0,580";"0,540";"0,596";"0,547"
"UF";"15";"Pará";"0,562";"0,528";"0,480";"0,529";"0,508"
"UF";"16";"Amapá";"0,547";"0,513";"0,500";"0,530";"0,531"
"UF";"17";"Tocantins";"0,529";"0,530";"0,485";"0,514";"0,507"
"UF";"21";"Maranhão";"0,528";"0,531";"0,482";"0,530";"0,491"
"UF";"22";"Piauí";"0,530";"0,537";"0,474";"0,516";"0,518"
"UF";"23";"Ceará";"0,547";"0,562";"0,544";"0,549";"0,518"
"UF";"24";"Rio Grande do Norte";"0,540";"0,554";"0,512";"0,587";"0,526"
"UF";"25";"Paraíba";"0,549";"0,561";"0,512";"0,562";"0,558"
"UF";"26";"Pernambuco";"0,534";"0,574";"0,536";"0,579";"0,515"
"UF";"27";"Alagoas";"0,550";"0,527";"0,510";"0,526";"0,498"
"UF";"28";"Sergipe";"0,578";"0,581";"0,524";"0,568";"0,528"
"UF";"29";"Bahia";"0,550";"0,557";"0,537";"0,546";"0,511"
"UF";"31";"Minas Gerais";"0,492";"0,487";"0,460";"0,487";"0,466"
"UF";"32";"Espírito Santo";"0,509";"0,520";"0,484";"0,509";"0,493"
"UF";"33";"Rio de Janeiro";"0,543";"0,552";"0,548";"0,565";"0,540"
"UF";"35";"São Paulo";"0,538";"0,526";"0,522";"0,533";"0,500"
"UF";"41";"Paraná";"0,492";"0,477";"0,462";"0,475";"0,470"
"UF";"42";"Santa Catarina";"0,417";"0,421";"0,412";"0,424";"0,419"
"UF";"43";"Rio Grande do Sul";"0,487";"0,482";"0,476";"0,468";"0,467"
"UF";"50";"Mato Grosso do Sul";"0,490";"0,483";"0,470";"0,496";"0,478"
"UF";"51";"Mato Grosso";"0,465";"0,454";"0,462";"0,461";"0,450"
"UF";"52";"Goiás";"0,470";"0,460";"0,445";"0,467";"0,456"
"UF";"53";"Distrito Federal";"0,570";"0,554";"0,548";"0,566";"0,536"
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, acumulado de primeiras visitas, exceto 2020-2022, acumulado de quintas visitas, devido à pandemia de Covid-19."

"Notas"
"O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
A partir de 19 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.
Até o 3º trimestre de 2015, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho.
A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
