"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Nível";"Cód.";"Unidade da Federação";"Ano"
"Nível";"Cód.";"Unidade da Federação";"2018";"2019";"2020";"2021";"2022"
"UF";"11";"Rondônia";"44913978";"47091336";"51598741";"58170096";"66795454"
"UF";"12";"Acre";"15331123";"15630017";"16476371";"21374440";"23676136"
"UF";"13";"Amazonas";"100109235";"108181091";"116019139";"131531038";"145140465"
"UF";"14";"Roraima";"13369988";"14292227";"16024276";"18202579";"21095342"
"UF";"15";"Pará";"161349602";"178376984";"215935604";"262904979";"236141874"
"UF";"16";"Amapá";"16795207";"17496661";"18469115";"20099851";"23614291"
"UF";"17";"Tocantins";"35666183";"39355941";"43649803";"51780764";"58208795"
"UF";"21";"Maranhão";"98179496";"97339938";"106915962";"124980720";"139789146"
"UF";"22";"Piauí";"50378418";"52780785";"56391257";"64028303";"72834504"
"UF";"23";"Ceará";"155903825";"163575327";"166914536";"194884802";"213600674"
"UF";"24";"Rio Grande do Norte";"66969562";"71336780";"71577107";"80180733";"93819291"
"UF";"25";"Paraíba";"64373595";"67986074";"70292034";"77470331";"86094173"
"UF";"26";"Pernambuco";"186351975";"197853378";"193307317";"220813522";"245828017"
"UF";"27";"Alagoas";"54413047";"58963729";"63202349";"76265620";"76065806"
"UF";"28";"Sergipe";"42017981";"44689483";"45409657";"51861397";"57372241"
"UF";"29";"Bahia";"286239541";"293240504";"305320813";"352617852";"402646606"
"UF";"31";"Minas Gerais";"614875820";"651872684";"682786116";"857593214";"906730670"
"UF";"32";"Espírito Santo";"137020055";"137345595";"138445922";"186336505";"182548590"
"UF";"33";"Rio de Janeiro";"758859047";"779927917";"753823711";"949300770";"1153512155"
"UF";"35";"São Paulo";"2210561949";"2348338000";"2377638980";"2719751231";"3130333203"
"UF";"41";"Paraná";"440029403";"466377036";"487930594";"549973062";"614610848"
"UF";"42";"Santa Catarina";"298227090";"323263857";"349275016";"428570889";"466274103"
"UF";"43";"Rio Grande do Sul";"457293958";"482464177";"470941846";"581283677";"593633656"
"UF";"50";"Mato Grosso do Sul";"106969142";"106943246";"122627726";"142203766";"166407329"
"UF";"51";"Mato Grosso";"137442853";"142122028";"178649564";"233390203";"255527297"
"UF";"52";"Goiás";"195681724";"208672492";"224126112";"269627874";"318586149"
"UF";"53";"Distrito Federal";"254817205";"273613711";"265847334";"286943782";"328789563"
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA"

"Notas"
"1 - Os dados de 2022 e 2023 estarão sujeitos a revisão na próxima publicação."
"2 - Para os anos de 2022 e 2023 foram divulgados apenas o Produto Interno Bruto e o Produto Interno Bruto per capita, conforme a nota técnica 02/2024 do Sistema de Contas Nacionais, que pode ser acessada em https://biblioteca.ibge.gov.br/visualizacao/livros/liv102094.pdf."
"3 - Os dados da série retropolada (de 2002 a 2009) também têm como referência o ano de 2010, seguindo a nova referência das Contas Nacionais."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
